title,description,content,url,publishedAt,clean_description,Sentiment_Polarity,Sentiment_Label
"I moved to New York City on a whim after almost a decade in Florida. Here are the 11 biggest surprises, so far.","After living in Florida for nearly a decade, I moved to New York on a whim, hoping to secure my career as a recent graduate in an uncertain economy.","The author moved to New York City from Florida a few months ago.Jiselle Lee
<ul><li>I moved to New York City after nearly a decade living in both South and North Florida.</li><li>I was surprised by … [+10666 chars]",https://www.businessinsider.com/moving-to-new-york-from-florida-things-that-surprised-me,2025-11-11T16:15:23Z,after living in florida for nearly a decade i moved to new york on a whim hoping to secure my career as a recent graduate in an uncertain economy,0.1590909090909091,Positive
Bangladesh's accession to the UN Water Convention has a ripple effect that could cause problems with India,"When Bangladesh became the first country in South Asia to join the U.N.'s Water Convention earlier this year, it was presented as a win-win.","When Bangladesh became the first country in South Asia to join the U.N.'s Water Convention earlier this year, it was presented as a win-win.
Signing up to the Convention on the Protection and Use of… [+8137 chars]",https://phys.org/news/2025-11-bangladesh-accession-convention-ripple-effect.html,2025-11-04T05:00:01Z,when bangladesh became the first country in south asia to join the uns water convention earlier this year it was presented as a winwin,0.125,Positive
Why India likely won’t return Hasina to face Bangladesh death penalty,"Bangladesh protesters applaud death penalty for former PM. But she is far from the gallows, in India.","New Delhi, India Shima Akhter, 24, was in the middle of football practice when her friend stopped the session to break some news for her: Sheikh Hasina, the fugitive former prime minister of Banglade… [+10549 chars]",https://www.aljazeera.com/features/2025/11/18/why-india-likely-wont-return-hasina-to-face-bangladesh-death-penalty,2025-11-18T04:57:47Z,bangladesh protesters applaud death penalty for former pm but she is far from the gallows in india,0.05,Neutral
Bangladesh expats win means to vote – could they sway the next election?,"They have had the right to vote for some time, but no system was established to allow them to take part in elections.","Dhaka, Bangladesh Long overlooked in Bangladeshs electoral system, millions of expatriates including migrant workers who underpin the nations economy will be able to vote in national elections for th… [+11100 chars]",https://www.aljazeera.com/features/2025/10/28/bangladesh-expats-win-means-to-vote-could-they-sway-the-next-election,2025-10-28T05:25:13Z,they have had the right to vote for some time but no system was established to allow them to take part in elections,0.2857142857142857,Positive
Bangladesh vs Pakistan live streams: Watch Asia Cup Rising Stars final from anywhere for *FREE*,How to watch Bangladesh vs Pakistan live streams – stream Asia Cup Rising Stars 2025 final free online and from anywhere in the world.,"On 23 November, Bangladesh A and the Pakistan Shaheens clash in the Final of the Asia Cup Rising Stars 2025 at Doha’s West End Park Stadium. Here's how to watch Bangladesh vs Pakistan live streams fo… [+5409 chars]",https://www.techradar.com/how-to-watch/cricket/watch-bangladesh-vs-pakistan-live-streams-asia-cup-rising-stars-final-free,2025-11-23T05:49:00Z,how to watch bangladesh vs pakistan live streams  stream asia cup rising stars 2025 final free online and from anywhere in the world,0.1787878787878788,Positive
Bangladesh's ousted PM Sheikh Hasina sentenced to death for student crackdown,"A Bangladesh war crimes court sentenced ousted prime minister Sheikh Hasina to death on Monday, concluding a months-long trial that found her guilty of ordering a deadly crackdown on a student-led uprising last year.","A Bangladesh war crimes court sentenced ousted Prime Minister Sheikh Hasina to death on Monday, concluding a months-long trial that found her guilty of ordering a deadly crackdown on a student-led up… [+5204 chars]",https://www.cbc.ca/news/world/bangladesh-tribunal-sentence-exiled-hasina-9.6981196,2025-11-17T09:57:22Z,a bangladesh war crimes court sentenced ousted prime minister sheikh hasina to death on monday concluding a monthslong trial that found her guilty of ordering a deadly crackdown on a studentled uprising last year,-0.2333333333333333,Negative
Daily Briefing: Crypto net and Trump tariffs,Also in today's edition: PM Modi delivers RNG lecture; Congress goes solo in BMC polls; AI for third graders; and more,"Good morning,Over Rs 600 crore, siphoned off from 3,000 victims, was laundered through at least 27 cryptocurrency exchanges. As part of The Coin Laundry, a global investigation project, The Indian Ex… [+5064 chars]",https://indianexpress.com/article/live-news/top-news-today-briefing-10371852/,2025-11-18T04:49:14Z,also in todays edition pm modi delivers rng lecture congress goes solo in bmc polls ai for third graders and more,0.25,Positive
"UPSC Key: Bangladesh’s request to extradite Hasina, Rare earth magnet scheme, and Digital sovereignty","UPSC current affairs: How is the Centre’s approval of the rare-earth magnet scheme important for your UPSC exam? What significance do topics such as digital sovereignty, Aravalli Hills, and Bill on a single higher education authority have for both the Prelimi…","Preliminary Examination: Current events of national and international importance
Mains Examination: General Studies-II: India and its neighbourhood- relations,  Bilateral, regional and global groupi… [+36230 chars]",https://indianexpress.com/article/upsc-current-affairs/upsc-key-extradite-hasina-rare-earth-magnet-digital-sovereignty-10389499/,2025-11-27T12:49:41Z,upsc current affairs how is the centres approval of the rareearth magnet scheme important for your upsc exam what significance do topics such as digital sovereignty aravalli hills and bill on a single higher education authority have for both the prelimi,0.09642857142857143,Neutral
Links 11/11/2025,"Our agitatin' daily links: Farmers Almanac RIP, chocolate and coffe endangered. China bear case, India rupee new low, Sudan humanitarian crisis, Panama invasion myths, Trump booed, IDF manpower shortage? Dem shutdown cave, gold rallies, Hegseth channels 1939,…","The Farmers Almanac says goodbye after 208 years Popular Science (resilc) :-(
Facing a spike in deadly bear attacks, Japan turns to the military and drones that bark CNN
James Watson, dead at 97, w… [+8128 chars]",https://www.nakedcapitalism.com/2025/11/links-11-11-2025.html,2025-11-11T11:55:13Z,our agitatin daily links farmers almanac rip chocolate and coffe endangered china bear case india rupee new low sudan humanitarian crisis panama invasion myths trump booed idf manpower shortage dem shutdown cave gold rallies hegseth channels 1939,0.04545454545454545,Neutral
"Global Money Supply Is Increasing, Supporting Bitcoin Price",The long-term trend continues to be supportive of new highs when Bitcoin is priced in money that can’t seem to find its way to controlling itself.,"WASHINGTON, DC - JULY 24: U.S. President Donald Trump and Federal Reserve Chair Jerome Powell tour the Federal Reserves $2.5 billion headquarters renovation project on July 24, 2025 in Washington, DC… [+4267 chars]",https://www.forbes.com/sites/digital-assets/2025/10/31/global-money-supply-is--increasing-supporting-bitcoin-price/,2025-10-31T21:57:37Z,the longterm trend continues to be supportive of new highs when bitcoin is priced in money that cant seem to find its way to controlling itself,0.3181818181818182,Positive
"In Bangladesh, continuing turmoil, a verdict foretold",The country is now witnessing a bitter struggle between the vanquished Awami League of Sheikh Hasina and the Interim Government,"The International Crimes Tribunal (ICT) will announce the final verdict on November 17 on the charges framed against Sheikh Hasina, the former prime minister of Bangladesh. Hasina has outrightly reje… [+2714 chars]",https://indianexpress.com/article/opinion/columns/in-bangladesh-continuing-turmoil-a-verdict-foretold-10369606/,2025-11-17T05:09:46Z,the country is now witnessing a bitter struggle between the vanquished awami league of sheikh hasina and the interim government,-0.1,Neutral
